Patient ID: 47, Timestamp: 1712831518277, Label: ECG, Data: -0.4786703992763288
Patient ID: 4, Timestamp: 1712831518342, Label: ECG, Data: 0.418823953622913
Patient ID: 56, Timestamp: 1712831518282, Label: ECG, Data: -0.5292406463002323
Patient ID: 71, Timestamp: 1712831518342, Label: ECG, Data: 0.5511741223290956
Patient ID: 74, Timestamp: 1712831518256, Label: ECG, Data: -0.1345189472844543
Patient ID: 51, Timestamp: 1712831518252, Label: ECG, Data: 0.13750432521829026
Patient ID: 95, Timestamp: 1712831518258, Label: ECG, Data: -0.3907220233085342
Patient ID: 22, Timestamp: 1712831518249, Label: ECG, Data: -0.08566437537924528
Patient ID: 28, Timestamp: 1712831518275, Label: ECG, Data: -0.4232317633858368
Patient ID: 99, Timestamp: 1712831518349, Label: ECG, Data: -0.5152668592151302
Patient ID: 17, Timestamp: 1712831518362, Label: ECG, Data: 0.1666018153012528
Patient ID: 7, Timestamp: 1712831518360, Label: ECG, Data: 0.27897957101319215
Patient ID: 67, Timestamp: 1712831518370, Label: ECG, Data: 0.36488052010651506
Patient ID: 59, Timestamp: 1712831518375, Label: ECG, Data: -0.455538346768581
Patient ID: 1, Timestamp: 1712831518381, Label: ECG, Data: -0.4804446014825174
Patient ID: 35, Timestamp: 1712831518398, Label: ECG, Data: 0.21771434437175008
Patient ID: 6, Timestamp: 1712831518397, Label: ECG, Data: -0.5166304915631625
Patient ID: 92, Timestamp: 1712831518398, Label: ECG, Data: 0.31265994711954115
Patient ID: 55, Timestamp: 1712831518397, Label: ECG, Data: -0.21280347562211177
Patient ID: 97, Timestamp: 1712831518401, Label: ECG, Data: 0.29309697594335404
Patient ID: 27, Timestamp: 1712831518401, Label: ECG, Data: 0.5556187857552057
Patient ID: 8, Timestamp: 1712831518403, Label: ECG, Data: 0.6336656494430172
Patient ID: 22, Timestamp: 1712831519253, Label: ECG, Data: -0.03366848831594191
Patient ID: 32, Timestamp: 1712831519254, Label: ECG, Data: 0.3001837769533908
Patient ID: 14, Timestamp: 1712831519255, Label: ECG, Data: 0.7853118876521825
Patient ID: 51, Timestamp: 1712831519257, Label: ECG, Data: 0.6980884419808772
Patient ID: 95, Timestamp: 1712831519260, Label: ECG, Data: 0.7560630814419649
